obs_id,param,value
0,x0,40.0
0,y0,37.0
0,vx,0.0
0,vy,0.8

obs_id,z_idx,time_s,x_m,y_m
0,0,0.1,8.1,7.5
0,3,0.7000000000000001,8.1,7.98
0,6,1.3,8.1,8.459999999999999
0,9,1.9000000000000001,8.1,8.940000000000001
0,12,2.5,8.1,9.42
0,15,3.1,8.1,9.9
0,18,3.7,8.1,10.38
0,21,4.3,8.1,10.86
0,24,4.9,8.1,11.340000000000002
0,27,5.5,8.1,11.82
0,30,6.1000000000000005,8.1,12.3
0,33,6.7,8.1,12.780000000000001
0,36,7.300000000000001,8.1,13.26
0,39,7.9,8.1,13.740000000000002
