obs_id,param,value
0,x0,15.5
0,y0,25.0
0,vx,-0.9
0,vy,0.0

obs_id,z_idx,time_s,x_m,y_m
0,0,0.1,3.2,5.1000000000000005
0,3,0.7000000000000001,2.66,5.1000000000000005
0,6,1.3,2.12,5.1000000000000005
0,9,1.9000000000000001,1.58,5.1000000000000005
0,12,2.5,1.0399999999999998,5.1000000000000005
0,15,3.1,0.5,5.1000000000000005
0,18,3.7,-0.03999999999999986,5.1000000000000005
0,21,4.3,-0.5800000000000004,5.1000000000000005
0,24,4.9,-1.1200000000000003,5.1000000000000005
0,27,5.5,-1.6600000000000001,5.1000000000000005
0,30,6.1000000000000005,-2.2,5.1000000000000005
0,33,6.7,-2.74,5.1000000000000005
0,36,7.300000000000001,-3.28,5.1000000000000005
0,39,7.9,-3.8200000000000003,5.1000000000000005
