obs_id,param,value
0,x0,56.0
0,y0,25.0
0,vx,-0.9
0,vy,0.0

obs_id,z_idx,time_s,x_m,y_m
0,0,0.1,11.3,5.1000000000000005
0,3,0.7000000000000001,10.76,5.1000000000000005
0,6,1.3,10.22,5.1000000000000005
0,9,1.9000000000000001,9.68,5.1000000000000005
0,12,2.5,9.14,5.1000000000000005
0,15,3.1,8.6,5.1000000000000005
0,18,3.7,8.06,5.1000000000000005
0,21,4.3,7.52,5.1000000000000005
0,24,4.9,6.98,5.1000000000000005
0,27,5.5,6.440000000000001,5.1000000000000005
0,30,6.1000000000000005,5.9,5.1000000000000005
0,33,6.7,5.36,5.1000000000000005
0,36,7.300000000000001,4.82,5.1000000000000005
0,39,7.9,4.28,5.1000000000000005
