obs_id,param,value
0,x0,-7.0
0,y0,25.0
0,vx,-0.9
0,vy,0.0

obs_id,z_idx,time_s,x_m,y_m
0,0,0.1,-1.3,5.1000000000000005
0,3,0.7000000000000001,-1.8399999999999999,5.1000000000000005
0,6,1.3,-2.3800000000000003,5.1000000000000005
0,9,1.9000000000000001,-2.92,5.1000000000000005
0,12,2.5,-3.4600000000000004,5.1000000000000005
0,15,3.1,-4.0,5.1000000000000005
0,18,3.7,-4.54,5.1000000000000005
0,21,4.3,-5.080000000000001,5.1000000000000005
0,24,4.9,-5.620000000000001,5.1000000000000005
0,27,5.5,-6.16,5.1000000000000005
0,30,6.1000000000000005,-6.7,5.1000000000000005
0,33,6.7,-7.240000000000001,5.1000000000000005
0,36,7.300000000000001,-7.78,5.1000000000000005
0,39,7.9,-8.32,5.1000000000000005
