obs_id,param,value
0,x0,35.0
0,y0,17.0
0,vx,0.0
0,vy,0.7
1,x0,45.0
1,y0,33.0
1,vx,0.0
1,vy,-0.7

obs_id,z_idx,time_s,x_m,y_m
0,0,0.1,7.1000000000000005,3.5
0,3,0.7000000000000001,7.1000000000000005,3.9200000000000004
0,6,1.3,7.1000000000000005,4.34
0,9,1.9000000000000001,7.1000000000000005,4.760000000000001
0,12,2.5,7.1000000000000005,5.18
0,15,3.1,7.1000000000000005,5.6000000000000005
0,18,3.7,7.1000000000000005,6.0200000000000005
0,21,4.3,7.1000000000000005,6.440000000000001
0,24,4.9,7.1000000000000005,6.859999999999999
0,27,5.5,7.1000000000000005,7.28
0,30,6.1000000000000005,7.1000000000000005,7.7
0,33,6.7,7.1000000000000005,8.12
0,36,7.300000000000001,7.1000000000000005,8.540000000000001
0,39,7.9,7.1000000000000005,8.959999999999999
1,0,0.1,9.1,6.7
1,3,0.7000000000000001,9.1,6.28
1,6,1.3,9.1,5.86
1,9,1.9000000000000001,9.1,5.44
1,12,2.5,9.1,5.0200000000000005
1,15,3.1,9.1,4.6000000000000005
1,18,3.7,9.1,4.18
1,21,4.3,9.1,3.7600000000000002
1,24,4.9,9.1,3.3400000000000007
1,27,5.5,9.1,2.9200000000000004
1,30,6.1000000000000005,9.1,2.5
1,33,6.7,9.1,2.0800000000000005
1,36,7.300000000000001,9.1,1.6600000000000001
1,39,7.9,9.1,1.2400000000000007
