obs_id,param,value
0,x0,35.0
0,y0,38.0
0,vx,0.0
0,vy,0.7
1,x0,45.0
1,y0,12.0
1,vx,0.0
1,vy,-0.7

obs_id,z_idx,time_s,x_m,y_m
0,0,0.1,7.1000000000000005,7.7
0,3,0.7000000000000001,7.1000000000000005,8.120000000000001
0,6,1.3,7.1000000000000005,8.540000000000001
0,9,1.9000000000000001,7.1000000000000005,8.959999999999999
0,12,2.5,7.1000000000000005,9.38
0,15,3.1,7.1000000000000005,9.8
0,18,3.7,7.1000000000000005,10.22
0,21,4.3,7.1000000000000005,10.64
0,24,4.9,7.1000000000000005,11.06
0,27,5.5,7.1000000000000005,11.48
0,30,6.1000000000000005,7.1000000000000005,11.9
0,33,6.7,7.1000000000000005,12.32
0,36,7.300000000000001,7.1000000000000005,12.740000000000002
0,39,7.9,7.1000000000000005,13.16
1,0,0.1,9.1,2.5
1,3,0.7000000000000001,9.1,2.08
1,6,1.3,9.1,1.6600000000000001
1,9,1.9000000000000001,9.1,1.2400000000000002
1,12,2.5,9.1,0.8200000000000003
1,15,3.1,9.1,0.4
1,18,3.7,9.1,-0.01999999999999993
1,21,4.3,9.1,-0.4399999999999999
1,24,4.9,9.1,-0.8599999999999994
1,27,5.5,9.1,-1.2799999999999998
1,30,6.1000000000000005,9.1,-1.7000000000000002
1,33,6.7,9.1,-2.1199999999999997
1,36,7.300000000000001,9.1,-2.54
1,39,7.9,9.1,-2.9599999999999995
