obs_id,param,value
0,x0,61.0
0,y0,76.0
0,vx,0.8
0,vy,0.8

obs_id,z_idx,time_s,x_m,y_m
0,0,0.1,12.3,15.3
0,3,0.7000000000000001,12.780000000000001,15.780000000000001
0,6,1.3,13.26,16.26
0,9,1.9000000000000001,13.740000000000002,16.740000000000002
0,12,2.5,14.219999999999999,17.22
0,15,3.1,14.700000000000001,17.7
0,18,3.7,15.180000000000001,18.180000000000003
0,21,4.3,15.66,18.66
0,24,4.9,16.14,19.14
0,27,5.5,16.62,19.62
0,30,6.1000000000000005,17.1,20.1
0,33,6.7,17.580000000000002,20.580000000000002
0,36,7.300000000000001,18.06,21.060000000000002
0,39,7.9,18.540000000000003,21.540000000000003
